.csv,CSV (Macintosh),"Saves a workbook as a comma-delimited text file for use on the Macintosh operating system, and makes sure that tab characters, line breaks, and other characters are interpreted correctly. Saves only the active sheet."
.csv,CSV (MS-DOS),"Saves a workbook as a comma-delimited text file for use on the MS-DOS operating system, and makes sure that tab characters, line breaks, and other characters are interpreted correctly. Saves only the active sheet."
.dbf,"DBF 3, DBF 4","dBase III and IV. Users can open these files formats in Excel 2019, Excel 2016, and Excel 2013, but, users can't save an Excel file to dBase format."
.dif,DIF (Data Interchange Format),Saves only the active sheet.
".htm, .html",Web Page,"A web page that is saved as a folder that contains an .htm file and all supporting files, such as images, sound files, scripts, and more."
".mht, .mhtml",Single File Web Page,"A web page that is saved as a single file that includes an .htm file and all supporting files, such as images, sound files, scripts, and more."
.ods,OpenDocument Spreadsheet,"A file format for saving Excel 2019, Excel 2016, and Excel 2013 files so that they can be opened in spreadsheet applications that use the OpenDocument Spreadsheet format, such as Google Docs and OpenOffice.org Calc. Users can also open spreadsheets in the .ods format in Excel 2019, Excel 2016, and Excel 2013. When users save and open .ods files, they might lose formatting."
.pdf,PDF,"Portable Document Format, a format that preserves document formatting and enables file sharing. When the PDF format file is viewed online or printed, it keeps the format that users intended. Data in the file cannot be easily changed. The PDF format is also useful for documents that will be reproduced by using commercial printing methods."
.prn,Formatted Text (Space delimited),Lotus space-delimited format. Saves only the active sheet.
.slk,SYLK (Symbolic Link Format),Saves only the active sheet.
.txt,Text (Tab delimited),"Saves a workbook as a tab-delimited text file for use on another Windows operating system, and makes sure that tab characters, line breaks, and other characters are interpreted correctly. Saves only the active sheet."
.txt,Text (Macintosh),"Saves a workbook as a tab-delimited text file for use on the Macintosh operating system, and makes sure that tab characters, line breaks, and other characters are interpreted correctly. Saves only the active sheet."
.txt,Text (MS-DOS),"Saves a workbook as a tab-delimited text file for use on the MS-DOS operating system, and makes sure that tab characters, line breaks, and other characters are interpreted correctly. Saves only the active sheet."
.txt,Unicode Text,"Saves a workbook as Unicode text, a character encoding standard that was developed by the Unicode Consortium. Saves only the active sheet."
.xla,Excel 97-2003 Add-In,"The Excel 97-2003 Add-In, a supplemental program that runs additional code and supports VBA projects."
.xlam,Excel Add-In,"The XML-based and macro-enabled Add-In format for Excel 2019, Excel 2016, Excel 2013, and Office Excel 2007. An Add-In is a supplemental program that runs additional code. Supports VBA projects and Excel 4.0 macro sheets (.xlm)."
.xls,Excel 97-Excel 2003 Workbook,The Excel 97-Excel 2003 Binary file format.
.xls,Microsoft Excel 5.0/95 Workbook,The Excel 5.0/95 Binary file format.
.xlsb,Excel Binary Workbook,"The binary file format for Excel 2019, Excel 2016, Excel 2013, and Excel 2010 and Office Excel 2007. This is a fast load-and-save file format for users who need the fastest way possible to load a data file. Supports VBA projects, Excel 4.0 macro sheets, and all the new features that are used in Excel. But, this is not an XML file format and is therefore not optimal for accessing and manipulating content without using Excel 2019, Excel 2016, Excel 2013, Excel 2010 or Excel 2007 and the object model."
.xlsm,Excel Macro-Enabled Workbook,"The XML-based and macro-enabled file format for Excel 2019, Excel 2016, Excel 2013, Excel 2010 and Office Excel 2007. Stores VBA macro code or Excel 4.0 macro sheets (.xlm)."
.xlsx,Excel Workbook,"The default XML-based file format for Excel 2019, Excel 2016, Excel 2013, Excel 2010, and Office Excel 2007. Can't store VBA macro code or Microsoft Excel 4.0 macro sheets (.xlm)."
.xlsx,Strict Open XML Spreadsheet,An ISO strict version of the Excel Workbook file format (.xlsx).
.xlt,Excel 97 - Excel 2003 Template,The Excel 97 - Excel 2003 Binary file format for an Excel template.
.xltm,Excel Macro-Enabled Template,"The macro-enabled file format for an Excel template for Excel 2019, Excel 2016, Excel 2013, Excel 2010, and Office Excel 2007. Stores VBA macro code or Excel 4.0 macro sheets (.xlm)."
.xltx,Excel Template,"The default file format for an Excel template for Excel 2019, Excel 2016, Excel 2013, Excel 2010, and Office Excel 2007. Can't store VBA macro code or Excel 4.0 macro sheets (.xlm)."
.xlw,Excel 4.0 Workbook,"An Excel 4.0 file format that saves only worksheets, chart sheets, and macro sheets. Users can open a workbook in this file format in Excel 2019, Excel 2016, and Excel 2013. But, users can't save an Excel file to this file format."
.xml,XML Spreadsheet 2003,XML Spreadsheet 2003 file format.
.xml,XML Data,XML Data format.
.xps,XPS Document,"XML Paper Specification, a file format that preserves document formatting and enables file sharing. When the XPS file is viewed online or printed, it maintains exactly the format that users intended, and the data in the file cannot be easily changed."
